outcome,feature,mean,median,std,min,max
Home Run,pitch_velocity,89.22260614934115,90.4,5.855613840086674,38.4,103.2
Home Run,perceived_velocity,89.49313021825108,90.7,6.001327226572798,37.4,105.2
Home Run,spin_rate,2244.7537335285506,2276.0,346.02644726696803,0,3361
Home Run,vertical_release,5.786553440702782,5.81,0.50282841360615,0.99,7.34
Home Run,horizontal_release,-0.8702474377745242,-1.53,1.8068432371941276,-4.64,4.39
Home Run,extension,6.4308244252452775,6.4,0.4558320669286705,3.9,8.3
Home Run,px,-0.01209077598828697,-0.01,0.390262112661647,-1.6,1.57
Home Run,pz,2.4791786237188873,2.47,0.48505310098431764,0.9,4.42
Home Run,arm_angle,38.679180087847726,39.7,12.18796315847458,-66.5,76.8
Home Run,bat_speed,75.21221083455343,75.1,3.787709730387114,62.8,87.9
Home Run,swing_length,7.5199121522693995,7.5,0.529041210147354,5.6,9.8
Home Run,inside_pitch,0.5030746705710103,1.0,0.500027152860322,False,True
Home Run,high_pitch,0.07174231332357248,0.0,0.2580796498141303,False,True
Home Run,low_pitch,0.16149341142020499,0.0,0.3680123892501501,False,True
Home Run,swing_efficiency_ratio,10.038953131110643,10.026666666666667,0.7068112057690078,7.408163265306121,12.82089552238806
Home Run,speed_differential,-14.0103953147877,-14.599999999999994,7.167525750344361,-34.099999999999994,41.50000000000001
Extra-Base Hit,pitch_velocity,89.21471452885656,90.3,5.923124434919654,39.6,103.9
Extra-Base Hit,perceived_velocity,89.50506191950464,90.6,6.0941615880617475,37.1,104.7
Extra-Base Hit,spin_rate,2235.2625715611944,2267.0,361.0819712249285,0,3480
Extra-Base Hit,vertical_release,5.776903914590748,5.81,0.5057444612899863,0.97,7.73
Extra-Base Hit,horizontal_release,-0.821050595698592,-1.5,1.8383621233513943,-4.49,4.42
Extra-Base Hit,extension,6.444298313476714,6.5,0.458707729730047,3.6,8.4
Extra-Base Hit,px,-0.00735881169735417,0.0,0.43600292160742904,-1.47,1.53
Extra-Base Hit,pz,2.3646897725514466,2.35,0.5038333943778535,0.56,4.85
Extra-Base Hit,arm_angle,38.48901438960235,39.7,12.57135597411047,-66.9,74.1
Extra-Base Hit,bat_speed,73.50956212285317,73.7,4.531239771728736,41.3,88.0
Extra-Base Hit,swing_length,7.3705709422868635,7.4,0.6119366886100777,4.8,9.8
Extra-Base Hit,inside_pitch,0.4958997369642581,0.0,0.5000218724757193,False,True
Extra-Base Hit,high_pitch,0.051059879313012535,0.0,0.2201369258998738,False,True
Extra-Base Hit,low_pitch,0.23425653721182113,0.0,0.42356601758967694,False,True
Extra-Base Hit,swing_efficiency_ratio,10.02218331816395,10.028985507246375,0.8100360771235217,6.744186046511628,13.145833333333334
Extra-Base Hit,speed_differential,-15.705152406003405,-16.10000000000001,7.464888807367274,-56.0,30.9
Out,pitch_velocity,89.57098888335821,90.7,5.780208128419024,36.8,102.8
Out,perceived_velocity,89.78012783265542,90.9,5.928309339015184,34.7,103.4
Out,spin_rate,2233.8675958188155,2269.0,362.70061422362494,0,3475
Out,vertical_release,5.754034345445496,5.8,0.5230205646606197,1.01,7.38
Out,horizontal_release,-0.8589646590343454,-1.55,1.8621460763153368,-4.79,4.51
Out,extension,6.44198606271777,6.5,0.45792167850022575,3.3,8.2
Out,px,0.0008254521320723423,-0.01,0.48681402406939894,-1.97,1.79
Out,pz,2.390989712958354,2.38,0.535382950391218,0.63,4.89
Out,arm_angle,37.730379956860794,38.8,12.977878269922707,-68.8,76.7
Out,bat_speed,72.26063547370167,72.7,5.529372865472958,4.5,87.9
Out,swing_length,7.256537249045959,7.3,0.6632223782948008,0.6,9.5
Out,inside_pitch,0.5018251202920192,1.0,0.5000174100804929,False,True
Out,high_pitch,0.06728057076489133,0.0,0.2505176681561234,False,True
Out,low_pitch,0.23485979757756761,0.0,0.4239287466856687,False,True
Out,swing_efficiency_ratio,10.008973379880986,10.051282051282053,0.8985149972957313,3.6153846153846154,23.5
Out,speed_differential,-17.310353409656543,-17.599999999999994,7.8025130022826445,-87.5,34.7
Single,pitch_velocity,89.34737365698368,90.4,5.953822385214507,36.7,103.3
Single,perceived_velocity,89.62018439904485,90.7,6.131023077156702,33.5,103.8
Single,spin_rate,2226.0021886191803,2265.0,373.7589066465938,0,3428
Single,vertical_release,5.76081244196843,5.8,0.5315655917666222,0.87,8.01
Single,horizontal_release,-0.8368012999071496,-1.53,1.8559043597890286,-4.71,4.53
Single,extension,6.437425387982491,6.5,0.4552634011719155,3.1,8.5
Single,px,0.010208250431091656,0.01,0.5410444593472524,-1.69,1.99
Single,pz,2.3525202281469686,2.35,0.5504656256988004,0.44,4.69
Single,arm_angle,38.08204669054252,39.3,13.053912550922087,-66.7,75.2
Single,bat_speed,70.93003050802494,71.4,5.626251150522326,5.0,87.8
Single,swing_length,7.1564199495954375,7.2,0.7152584966600749,0.4,9.9
Single,inside_pitch,0.49224035017906886,0.0,0.49995636348492073,False,True
Single,high_pitch,0.06240880753415572,0.0,0.24190458714894386,False,True
Single,low_pitch,0.2604456824512535,0.0,0.43889236069788584,False,True
Single,swing_efficiency_ratio,9.976771566112237,10.037037037037036,0.9737805671203801,2.9411764705882355,16.0
Single,speed_differential,-18.41734314895875,-18.60000000000001,7.926260083420876,-93.3,40.89999999999999
